2 Cr,16,18,Sl,105
2 Cr,19,21,Sl,106:1-23
2 Cr,22,24,Sl,106:24-48
2 Cr,25,27,Sl,107
2 Cr,28,30,Sl,108
2 Cr,31,33,Sl,109
2 Cr,34,36,Sl,110
Ob,,,Sl,111
2 Co,1,3,Sl,112
2 Co,4,6,Sl,113
2 Co,7,9,Sl,114
2 Co,10,13,Sl,115
Ed,1,4,Sl,116
Ed,5,7,Sl,117
Ed,8,10,Sl,118:1-14
Ne,1,3,Sl,118:15-29
Ne,4,7,Sl,119:1-16
Ne,8,10,Sl,119:17-32
Ne,11,13,Sl,119:33-48
1 Tm,1,3,Sl,119:49-64
1 Tm,4,6,Sl,119:65-80
Et,1,3,Sl,119:81-96
Et,4,7,Sl,119:97-112
Et,8,10,Sl,119:113-128
2 Tm,,,Sl,119:129-144
Jó,1,3,Sl,119:145-160
Jó,4,6,Sl,119:161-176
Jó,7,9,Sl,120
Jó,10,12,Sl,121
Jó,13,15,Sl,122
Jó,16,18,Is,1
Jó,19,21,Is,2
Jó,22,24,Is,3
Jó,25,27,Is,4
Jó,28,30,Is,5
Jó,31,33,Is,6
Jó,34,36,Is,7
Jó,37,39,Is,8
Jó,40,42,Is,9
Tt,,,Is,10
Jr,1,3,Is,11
Jr,4,6,Is,12
Jr,7,9,Is,13
Jr,10,12,Is,14
Jr,13,15,Is,15
Jr,16,18,Is,16
Jr,19,21,Is,17
Jr,22,24,Is,18
Jr,25,27,Is,19
Jr,28,30,Is,20
Jr,31,33,Is,21
Jr,34,36,Is,22
Jr,37,39,Is,23
Jr,40,42,Is,24
Jr,43,46,Is,25
Jr,47,49,Is,26
Jr,50,52,Is,27
Lm,1,2,Is,28
Lm,3,5,Is,29
1 Jo,1,3,Is,30
1 Jo,4,5,Is,31
2 Jo,,,Is,32
1 Pe,1,3,Is,33
1 Pe,4,5,Is,34
Ez,1,4,Is,35
Ez,5,7,Is,36
Ez,8,11,Is,37
Ez,12,15,Is,38
Ez,16,19,Is,39
Ez,20,23,Sl,123,124
Ez,24,26,Sl,125,126
Ez,27,30,Sl,127
Ez,31,34,Sl,128,129
Ez,35,38,Sl,130,131
Ez,39,42,Sl,132
Ez,43,45,Sl,133,134
Ez,46,48,Sl,135
Jl,1,3,Sl,136
Jl,4,6,Sl,137
Jl,7,9,Sl,138
Jl,10,12,Sl,139
Jl,13,15,Sl,140
Jl,16,18,Sl,141
Jl,19,21,Sl,142
Dn,1,3,Sl,143
Dn,4,6,Sl,144
Dn,7,9,Sl,145
Dn,10,12,Sl,146
